Motor_Current_A,Oil_Temperature_C,Line_Pressure_bar,Filter_DeltaP_bar,Running_Hours,Vibration_RMS_mm_s,Status,Label,Reason
38.9,89.29,3.08,0.225,2156,2.42,Warning,1,Service interval warning (2000-3000 hrs)
59.33,94.59,2.9,0.237,1639.5,4.81,Warning,1,Multiple parameters in warning range
34.68,104.85,3.08,0.532,511.6,4.25,Critical,2,Filter choking (High temperature + High ΔP)
26.02,99.59,2.76,0.572,4040.1,5.26,Critical,2,Service critical (>3000 hrs) - Service required
27.87,66.94,2.82,0.047,542.7,1.59,Normal,0,None
27.42,90.64,3.13,0.251,1630.9,0,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
55.61,80.06,2.93,0.023,650.4,1.28,Normal,0,None
67.29,76.93,3.1,0.1,855.1,1.89,Warning,1,Motor current in warning range (60-70A)
56.36,66.98,3.38,0.154,154,0.86,Warning,1,Line pressure high warning (3.2-3.6 bar)
56.5,75.79,3.09,0.472,220.1,1.3,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
25.16,75.73,3,0.046,675.2,0.51,Normal,0,None
58.65,67.61,3.05,0.288,73.8,1.17,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
57.57,93.88,3.51,0.196,2261.6,5.08,Warning,1,Multiple parameters in warning range
29.26,100.98,2.93,0.167,1181.8,0.21,Warning,1,Oil temperature in warning range (90-105°C)
49.59,70.37,3.58,0.041,226.9,1.2,Warning,1,Line pressure high warning (3.2-3.6 bar)
28.35,87.44,3.17,0.392,698.4,1.39,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
47.62,61.81,3.3,0.184,18.4,2.31,Warning,1,Line pressure high warning (3.2-3.6 bar)
50.25,67.94,2.97,0.147,1698.4,2.52,Normal,0,None
34.29,68.77,3.18,0.206,2631.1,4.74,Warning,1,Service interval warning (2000-3000 hrs)
34.4,90.14,3.07,0.181,1907.9,3.75,Warning,1,Oil temperature in warning range (90-105°C)
58.83,84.34,3.32,0.081,633.8,3.32,Warning,1,Line pressure high warning (3.2-3.6 bar)
46.6,90.78,2.48,0.09,1481.5,3.42,Warning,1,Line pressure low warning (2.4-2.8 bar)
53.61,85.44,3.17,0.48,1003,2.01,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
38.52,63.51,2.6,0.002,1085.3,1.97,Warning,1,Line pressure low warning (2.4-2.8 bar)
29.47,97.18,3.15,0.189,170.7,2.29,Warning,1,Oil temperature in warning range (90-105°C)
68.05,68.63,2.99,0.004,1925.3,0.07,Warning,1,Motor current in warning range (60-70A)
31.54,68.54,2.59,0.138,559.9,2.77,Warning,1,Line pressure low warning (2.4-2.8 bar)
25.15,62.56,2.82,0.18,1407.3,3.32,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
31.78,71.58,2.98,0.385,90.6,2.44,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
56.29,99.43,2.5,0.318,2075.5,5.63,Warning,1,Multiple parameters in warning range
58.09,95.17,3.18,0.281,138.7,0.72,Warning,1,Oil temperature in warning range (90-105°C)
30.74,90.52,3.12,0.658,4607,7,Critical,2,Service critical (>3000 hrs) - Service required
59.56,73.48,2.97,0.441,1861.5,1.49,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
36.21,87.19,2.95,0.103,2091.3,4.78,Warning,1,Service interval warning (2000-3000 hrs)
56.9,80.81,3.66,0.155,2257.1,4.72,Critical,2,Line pressure critically high (>3.6 bar)
61.28,101.93,2.86,0.182,2261.5,3.38,Warning,1,Multiple parameters in warning range
55.37,100.03,3.19,0.168,2486.6,3.29,Warning,1,Multiple parameters in warning range
40.59,103.92,2.83,0.229,937.3,0.2,Warning,1,Oil temperature in warning range (90-105°C)
58.79,71.26,2.92,0.166,1926.4,0.9,Normal,0,None
66.54,83.06,2.97,0.117,1802.3,2.28,Warning,1,Motor current in warning range (60-70A)
41.4,72.48,3.05,0.01,1972.4,3.81,Normal,0,None
57.13,85.86,3.17,0.128,836.5,2.59,Normal,0,None
58.95,85.31,3.13,0.2,2273.4,3.14,Warning,1,Service interval warning (2000-3000 hrs)
58.32,78.52,2.88,0.15,716.3,2.48,Normal,0,None
43.53,86.93,3,0.119,807,6.74,Warning,1,Vibration in warning range (4-7 mm/s)
37.85,74.75,3.13,0.287,1567.3,2.05,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
41.25,88.46,2.99,0.055,480.3,2.53,Normal,0,None
48.84,65.06,2.86,0.003,557.2,0.56,Normal,0,None
64.98,80.49,2.83,0.167,163.5,2.46,Warning,1,Motor current in warning range (60-70A)
37.68,75.11,3.05,0.105,1494.9,1.96,Normal,0,None
28.43,95.63,3.05,0.195,754.6,1.08,Warning,1,Oil temperature in warning range (90-105°C)
29.65,83.29,2.12,0.382,382.7,3.21,Critical,2,Line pressure critically low (<2.4 bar)
37.14,89.11,3.03,0.039,305.7,0.41,Normal,0,None
38.95,88.89,2.86,0.085,1731,3.78,Normal,0,None
68.91,74.9,3,0.056,374.1,3.1,Warning,1,Motor current in warning range (60-70A)
34.65,76.58,2.85,0.354,103.6,2.07,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
62.83,80.24,3.11,0.113,823.7,1.89,Warning,1,Motor current in warning range (60-70A)
45.03,85.65,2.45,0.162,327.3,1.01,Warning,1,Line pressure low warning (2.4-2.8 bar)
36.62,85.96,2.96,0.18,753.9,1.79,Normal,0,None
60.65,94.39,3.43,0.309,2439.8,3.31,Warning,1,Multiple parameters in warning range
64.72,94.81,3.4,0.342,1811.7,3.5,Warning,1,Multiple parameters in warning range
37.14,84.19,2.85,0.177,794.6,0.42,Normal,0,None
49.31,80.73,3.09,0.362,691.4,1.04,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
42.14,78.82,2.41,0.167,1130.3,3.78,Warning,1,Line pressure low warning (2.4-2.8 bar)
44.68,78.08,2.97,0.258,2925.6,4.63,Warning,1,Service interval warning (2000-3000 hrs)
66.31,75.91,3.3,0,1194.5,7.87,Critical,2,Bearing/Alignment issue (High current + High vibration)
64.71,93.99,2.72,0.27,1676.4,3.61,Warning,1,Multiple parameters in warning range
26.02,82.48,2.87,0.192,829.2,0.59,Normal,0,None
31.99,87.05,2.88,0.053,944.1,0,Normal,0,None
39.57,75.38,2.85,0.025,1892.2,3.62,Normal,0,None
26.25,63.56,3.08,0.137,443.9,0,Normal,0,None
28.84,66.21,3.1,0.177,794.4,3.29,Normal,0,None
25.92,91.1,2.87,0.164,1166.1,0.66,Warning,1,Oil temperature in warning range (90-105°C)
44.96,68.25,3.05,0.076,872.3,2.25,Normal,0,None
68.18,93.04,3.37,0.357,1522.5,4.29,Warning,1,Multiple parameters in warning range
69.21,83.85,2.65,0.586,2742.9,0,Critical,2,Filter choked (ΔP >0.5 bar)
47.93,85.87,2.92,0.112,2900,2.23,Warning,1,Service interval warning (2000-3000 hrs)
47.71,61.5,2.64,0.712,1809.5,0.44,Critical,2,Filter choked (ΔP >0.5 bar)
49.74,69.61,3.02,0.096,1873.7,2.91,Normal,0,None
39.99,94.06,2.64,0.53,1486.5,5.04,Critical,2,Filter choked (ΔP >0.5 bar)
52.94,101.04,2.91,0.225,183.2,1.48,Warning,1,Oil temperature in warning range (90-105°C)
53.53,80.19,2.68,0.173,978.8,0.87,Warning,1,Line pressure low warning (2.4-2.8 bar)
57.02,61.7,3.08,0.06,1942.1,3.79,Normal,0,None
26.41,88.09,2.71,0.534,2088.9,0.49,Critical,2,Filter choked (ΔP >0.5 bar)
43.92,84.79,2.92,0.139,1231.7,3.77,Normal,0,None
55.4,89.1,3.1,0.17,2737.6,3.17,Warning,1,Service interval warning (2000-3000 hrs)
39.11,69.51,2.56,0.305,3855.5,7.95,Critical,2,Service critical (>3000 hrs) - Service required
46.81,65.3,3.25,0.04,1299.3,3.72,Normal,0,None
33.43,65.02,3.1,0.31,1938.2,0.18,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
33.15,75.5,3.03,0.119,1754.9,0.4,Normal,0,None
47.92,78.32,2.82,0.184,2259.8,3.12,Warning,1,Service interval warning (2000-3000 hrs)
42.41,78.36,3.12,0.075,1131.5,2.82,Normal,0,None
69.2,86.67,3.08,0.169,1360.3,2.91,Warning,1,Motor current in warning range (60-70A)
57,101.55,3.33,0.263,1787,3.09,Warning,1,Multiple parameters in warning range
47.14,76.48,3.12,0.023,1082.5,3,Normal,0,None
3.11,80.69,2.07,0.19,1862.7,1.38,Critical,2,Motor current fault (<10A) - Belt/coupling/unload fault
49.14,72.88,2.89,0.207,902.8,5.3,Warning,1,Vibration in warning range (4-7 mm/s)
47.63,70.04,3.16,0.23,1887.2,1.66,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
58.81,73.72,3.16,0.057,62.3,0.89,Normal,0,None
59.92,98.21,3.28,0.687,97.6,1.06,Critical,2,Filter choked (ΔP >0.5 bar)
29.17,91.2,3.09,0.208,983.2,0.76,Warning,1,Oil temperature in warning range (90-105°C)
24.46,62.96,2.97,0.086,583.3,2.4,Normal,0,None
35.78,104.43,2.65,0.229,2107.4,8.83,Critical,2,Vibration critical (>7 mm/s)
64.99,62.96,2.09,0.08,2068.4,4.07,Critical,2,Air leak/Airend wear (High current + Low pressure)
60.76,88.72,2.84,0.103,1741.9,2.97,Warning,1,Motor current in warning range (60-70A)
69.62,88.31,3.02,0.363,181.1,7.29,Critical,2,Bearing/Alignment issue (High current + High vibration)
75.62,75.6,1.93,0.396,1494.6,4.67,Critical,2,Air leak/Airend wear (High current + Low pressure)
55.57,85.13,2.79,0.253,2227.2,5.46,Warning,1,Multiple parameters in warning range
60.11,61.16,3.14,0.125,1450.5,1.82,Normal,0,None
56.14,66.81,3.05,0.221,2131.6,4.13,Warning,1,Service interval warning (2000-3000 hrs)
70.1,62.58,3.16,0.081,1741.5,0.95,Warning,1,Motor current in warning range (60-70A)
58.37,67.7,3.07,0.066,261.7,2.97,Normal,0,None
36.62,84.52,3.37,0.071,1413.6,2.51,Warning,1,Line pressure high warning (3.2-3.6 bar)
45.7,86.78,2.88,0.03,114.2,1.07,Normal,0,None
36.52,75.56,2.84,0.001,1930.2,7.17,Warning,1,Vibration in warning range (4-7 mm/s)
57.02,84.98,2.85,0.324,2173.4,3.63,Warning,1,Multiple parameters in warning range
49.34,86.19,3.2,0.149,1235.7,2.05,Normal,0,None
60.34,97.96,2.61,0.318,1548.2,6.04,Warning,1,Multiple parameters in warning range
45.14,82.85,3.15,0.095,1335.2,1.29,Normal,0,None
44.12,59.18,2.89,0.067,1390.9,1.45,Normal,0,None
62.76,61.87,2.99,0.157,927,2.34,Warning,1,Motor current in warning range (60-70A)
44.48,76.77,3.45,0.154,1436.2,3.25,Warning,1,Line pressure high warning (3.2-3.6 bar)
26.62,86.93,2.94,0.244,513.6,2.04,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
49.28,68.28,2.94,0.018,1362.2,0.76,Normal,0,None
44.92,67.27,2.79,0.102,1100.5,3.23,Warning,1,Line pressure low warning (2.4-2.8 bar)
33,65.12,3.03,0.075,1800,3.45,Normal,0,None
53.2,73.02,3.08,0.233,903.5,2.48,Warning,1,Filter differential pressure warning (0.2-0.5 bar)
55.29,97.75,3.16,0.279,1890.9,3.86,Warning,1,Multiple parameters in warning range
44.55,93.92,3.18,0.694,3208.2,4.46,Critical,2,Service critical (>3000 hrs) - Service required
32.43,95.56,2.8,0.231,1600.7,0.35,Warning,1,Oil temperature in warning range (90-105°C)
73.5,75.01,2.82,0.334,1985.5,7.01,Critical,2,Motor current critical (>70A)
66.79,90.31,2.73,0.279,1351.1,7.35,Critical,2,Bearing/Alignment issue (High current + High vibration)
71.97,102.49,2.95,0.55,2781,6.97,Critical,2,Filter choking (High temperature + High ΔP)
